GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Loan_Management_System,com.example.loan,Main,6,3,0,0,2,1,1,1,1,1
Loan_Management_System,com.example.loan.configuration,MvcConfig,0,20,0,0,0,4,0,2,0,2
Loan_Management_System,com.example.loan.configuration,JWTTokenProvider,97,4,0,0,34,1,5,1,5,1
Loan_Management_System,com.example.loan.configuration,AppConfig,20,0,0,0,7,0,2,0,2,0
Loan_Management_System,com.example.loan.configuration,SecurityConfig,151,0,0,0,21,0,5,0,5,0
Loan_Management_System,com.example.loan.configuration,JWTAuthenticationFilter,73,0,8,0,18,0,7,0,3,0
Loan_Management_System,com.example.loan.configuration,WebConfig,0,13,0,0,0,3,0,2,0,2
Loan_Management_System,com.example.loan.configuration,JWTAuthenticationEntryPoint,9,0,0,0,3,0,2,0,2,0
Loan_Management_System,com.example.loan.entity,Officer,4,45,0,0,2,19,1,13,1,13
Loan_Management_System,com.example.loan.entity,LoanApprovalResponse,12,21,0,0,6,8,3,4,3,4
Loan_Management_System,com.example.loan.entity,User,4,59,0,0,2,25,1,17,1,17
Loan_Management_System,com.example.loan.entity,AuthRequest,0,14,0,0,0,6,0,4,0,4
Loan_Management_System,com.example.loan.entity,AuthResponse,8,15,0,0,4,6,2,3,2,3
Loan_Management_System,com.example.loan.entity,PasswordUpdateRequest,7,21,0,0,3,9,2,6,2,6
Loan_Management_System,com.example.loan.entity,Loan,0,91,0,0,0,39,0,26,0,26
Loan_Management_System,com.example.loan.controller,AuthController,35,269,8,14,10,59,8,18,0,15
Loan_Management_System,com.example.loan.controller,ReportController,74,537,0,0,22,144,0,14,0,14
Loan_Management_System,com.example.loan.controller,LoanController,5,161,0,6,0,37,1,10,1,7
Loan_Management_System,com.example.loan.controller,OfficerController,5,183,0,4,0,45,1,15,1,13
Loan_Management_System,com.example.loan.dto,LoanSummaryDto,0,9,0,0,0,4,0,1,0,1
Loan_Management_System,com.example.loan.dto,LoanRequestDto,0,42,0,0,0,18,0,12,0,12
Loan_Management_System,com.example.loan.service,CustomUserDetailService,0,31,0,0,0,2,0,2,0,2
Loan_Management_System,com.example.loan.service,UserService,4,137,1,11,1,32,1,15,0,9
Loan_Management_System,com.example.loan.service,AuthService,0,20,0,0,0,4,0,2,0,2
Loan_Management_System,com.example.loan.service,OfficerService,0,122,0,8,0,27,0,13,0,9
Loan_Management_System,com.example.loan.service,LoanService,56,236,6,10,14,43,6,16,2,12
